State,Year,Population_12_17,Population_18_25,Population_26plus,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Rates_Marijuana_Used_Past_Month_12_17,Rates_Marijuana_Used_Past_Month_18_25,Rates_Marijuana_Used_Past_Month_26plus
South Carolina,2005,361860,461761,2698757,0.054191,0.062061,0.00152,0.060955,0.156102,0.036232
South Dakota,2005,66214,92864,477378,0.051103,0.055984,0.001485,0.063708,0.139617,0.034032
Tennessee,2005,486247,634563,3851545,0.057223,0.064827,0.001806,0.059789,0.168617,0.042875
Texas,2005,2083455,2674678,13620520,0.05167,0.048641,0.0015,0.055644,0.120136,0.026475
Utah,2005,233270,364626,1353274,0.039364,0.041125,0.001828,0.049622,0.096646,0.027219
Vermont,2005,51757,70705,414171,0.07752,0.105166,0.002035,0.100977,0.282339,0.066909
Virginia,2005,621149,782661,4767472,0.056091,0.056338,0.001685,0.064304,0.156771,0.037381
Washington,2005,532240,686791,4037966,0.056818,0.073406,0.002126,0.077757,0.200517,0.061739
West Virginia,2005,136941,188109,1219878,0.053668,0.061728,0.001296,0.069385,0.18606,0.039979
Wisconsin,2005,469879,631978,3530390,0.057341,0.076637,0.001899,0.065884,0.157523,0.036471
Wyoming,2005,42307,60899,324179,0.065907,0.080717,0.001825,0.075578,0.176442,0.047267
Alabama,2006,386639,500168,2919719,0.050085,0.047082,0.001011,0.054082,0.113858,0.031572
Alaska,2006,64383,74321,395433,0.058348,0.074354,0.001532,0.079823,0.188131,0.06003
Arizona,2006,531706,667551,3852843,0.054375,0.059604,0.001096,0.060227,0.151663,0.035841
Arkansas,2006,234358,298001,1778618,0.057329,0.064312,0.001069,0.066278,0.154332,0.041122
California,2006,3251070,4216574,22275311,0.052316,0.058304,0.001051,0.068116,0.169433,0.045699
Colorado,2006,387286,516885,3028921,0.078479,0.088692,0.001573,0.081488,0.217559,0.058096
Connecticut,2006,296415,352612,2273192,0.067006,0.085358,0.001084,0.07439,0.202108,0.038728
Delaware,2006,70333,91979,547985,0.051395,0.076921,0.001086,0.069011,0.187256,0.040938
District of Columbia,2006,37965,82030,377906,0.061751,0.086963,0.001871,0.068143,0.239745,0.068708
Florida,2006,1389340,1778827,12041147,0.055108,0.059121,0.000925,0.069344,0.175069,0.036145
Georgia,2006,822659,1001876,5761385,0.048667,0.062604,0.001206,0.057332,0.143276,0.041115
Hawaii,2006,99465,126140,819708,0.063343,0.075932,0.000887,0.070504,0.156663,0.037207
Idaho,2006,132866,165315,893079,0.05015,0.046953,0.001176,0.061001,0.13855,0.035826
Illinois,2006,1094265,1433731,8011425,0.053984,0.063086,0.001114,0.061995,0.15366,0.035687
Indiana,2006,539431,689525,3967335,0.059756,0.076908,0.001124,0.073682,0.16246,0.04033
Iowa,2006,248086,343994,1882850,0.053575,0.054663,0.000972,0.055256,0.104138,0.024001
Kansas,2006,235408,322138,1693284,0.048288,0.060832,0.001061,0.068809,0.144399,0.037213
Kentucky,2006,341772,430183,2710811,0.067394,0.074308,0.001109,0.070219,0.17382,0.036893
Louisiana,2006,372138,505392,2604053,0.055412,0.057691,0.001129,0.057639,0.141587,0.037126
Maine,2006,105652,127761,894906,0.068669,0.100981,0.001041,0.097952,0.266546,0.055696
Maryland,2006,478466,589416,3571216,0.056306,0.073488,0.001211,0.058612,0.159116,0.030783
Massachusetts,2006,510890,716472,4200845,0.0718,0.092107,0.001212,0.086828,0.233917,0.051818
Michigan,2006,888059,1095038,6401469,0.057843,0.078711,0.001219,0.075522,0.184504,0.049523
Minnesota,2006,436903,582894,3276237,0.054761,0.07195,0.001224,0.072016,0.19554,0.050736
Mississippi,2006,259663,330771,1756337,0.041893,0.045682,0.001099,0.047285,0.120502,0.032696
Missouri,2006,494026,633170,3701021,0.05173,0.062833,0.001116,0.064227,0.141907,0.039304
Montana,2006,79003,105557,611324,0.065346,0.08313,0.001052,0.093974,0.219416,0.063403
Nebraska,2006,149456,209102,1085658,0.046557,0.055854,0.001,0.055693,0.136559,0.0331
